Metabolite,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,HFD1,HFD2,HFD3,HFD4,HFD5,HFD6,HFD7,HFD8
"(S)-3,5-DHPG",0.382951997,0.404177973,0.420564237,0.465916342,0.310048769,0.385297727,0.362276983,0.514213877,0.30155674,0.432257735,0.417920935,0.368482036,0.342663541,0.369709895,0.521512642,0.393601982
(S)-3-(indol-3-yl)-2-oxobutyric acid,0.095516432,0.122400913,0.103903433,0.108992744,0.095102693,0.089943941,0.088650667,0.100923141,0.082486067,0.096826048,0.115677002,0.098966288,0.102929829,0.118113959,0.121653555,0.099439603
"(Z)-2-Butene-1,2,3-tricarboxylic acid",0.77130797,0.710787126,1.228392569,0.860460853,1.172889873,0.419465433,0.549827507,0.484182463,0.28037161,0.365964823,0.966235788,0.355718701,0.408589109,0.589138773,0.300657319,0.755054816
(Z)-Isoambrettolide,4.86208455,4.816499489,7.255402912,7.737575502,5.135095732,5.246443324,2.714213779,3.844244212,4.455052377,3.807984351,5.014453216,3.959825585,3.701679146,4.868267434,3.398832846,5.880737432
(±)-(2E)-Abscisic acid,0.065700092,0.090093921,0.068676065,0.087384666,0.059641812,0.062188852,0.062861487,0.073778918,0.092965633,0.104172173,0.080844,0.100164716,0.093627764,0.077741853,0.098897541,0.073547297
(±)-Abscisic acid,1.888418162,0.865441413,1.260411246,1.482587878,0.489644849,2.635387324,1.941531099,5.293912818,2.043871914,2.829496424,1.382470935,1.98793872,1.487909539,1.60000851,1.816450047,1.131299669
(±)-Camphoric acid,5.340438775,3.729905122,5.959523716,5.036948353,6.380866334,4.67367803,5.888273875,5.819367449,4.022454221,4.883978417,5.645181992,4.791488278,5.841162641,4.148533868,4.407380103,5.081467501
(±)-Equol,0.944295528,1.610251814,0.973639685,0.832057188,1.128869133,1.11366088,1.396326002,1.628765547,4.011482415,0.977714325,1.166025182,2.608119674,2.891594346,3.777946266,2.024611418,1.973796397
(±)-Mandelic Acid,1.278472777,1.343318764,1.757256142,1.700884768,1.30273448,1.474905315,1.491030456,2.357395973,0.883147775,1.127055896,1.377431852,1.864995272,1.235660215,0.929751471,1.503593445,1.341949449
(±)-Naringenin,0.129283561,0.207162673,0.126375296,0.157989964,0.140961364,0.146414276,0.151459457,0.237582669,0.985118138,0.154373427,0.190062642,0.26628945,0.543294265,0.193325118,0.191965174,0.1705388
(±)-pantetheine,0.268403396,0.338035177,0.276546512,0.280141386,0.254673435,0.489052608,0.463093512,0.452807938,0.262157469,0.360868734,0.401083857,0.38225472,0.271128678,0.345773505,0.460123841,0.289068257
(±)10(11)-EpDPA,8.055452741,2.884985771,4.775419233,2.526878976,11.43729868,20.13537904,13.80700197,14.07470515,8.816950982,7.497088308,4.536410706,14.53764844,14.33170466,8.951844365,11.55002187,16.39314253
(±)11(12)-DiHET,9.662853876,8.601357221,12.16697891,9.126807587,6.282231331,1.924249002,3.774046352,1.858174895,8.505058533,1.899939554,6.897879664,2.230328191,1.947542107,7.224785848,1.550907337,2.305948758
(±)11(12)-EET,43.56152446,8.409446941,29.43279447,25.20712015,64.70749548,44.39143582,40.64599722,37.62253671,33.34362267,25.086831,24.77525342,42.1854606,24.30627416,33.19504054,54.09734617,59.88417662
(±)12(13)-DiHOME,1.119963745,2.023328839,1.404537226,1.506367734,1.555222829,1.212073411,0.995498733,0.974742017,1.304051839,0.895243285,1.199852002,1.571348009,0.869565043,1.826225108,1.023595879,1.082089208
(±)5-iPF2?-VI,0.719008396,1.311464235,0.650184741,0.773934082,0.915127476,0.718907742,0.760786735,0.822504838,1.355724304,0.796838681,0.818972146,1.220341821,1.714287902,0.905719477,1.345502897,1.627579306
(±)9(10)-DiHOME,1.146187106,3.354474987,2.112355439,1.630434688,2.200935692,1.295844745,1.060646604,0.985106666,1.516963355,1.124586364,1.175622415,1.951813803,0.961439201,2.458027219,1.183581978,1.567690654
(±)9-HpODE,1.048705333,1.835958318,1.005880718,1.258929734,1.116184874,1.704132737,1.79018201,2.108244881,1.655154239,1.057852093,0.960491866,2.62718507,1.923183964,0.854003599,1.972911417,1.877049869
(−)-(α)-Kainic Acid,0.079783728,0.102115796,0.088564311,0.089471102,0.076602635,0.076923306,0.076772866,0.090791796,0.071533016,0.085484965,0.122290569,0.112505789,0.125159831,0.144057415,0.107425367,0.083561753
(−)-Andrographolide,1.987580515,1.813366179,1.552597082,1.71430914,2.370726277,2.97684026,2.337118681,2.342772889,1.40852131,2.044362114,1.627762803,2.432655378,2.171435794,2.129932764,1.695344499,1.976020592
(−)-Prostaglandin E1,0.672369221,0.494796916,0.615254994,0.798863597,0.829851535,0.578923905,0.54026087,0.297706384,0.44931254,0.661459641,0.509015373,0.769574253,0.587257112,0.539756816,0.471645654,0.558608144
(−)-Prostaglandin E2,0.937052654,0.65924529,0.686651353,0.709752612,0.853831944,0.65789261,0.7367611,0.661962643,0.542526773,0.548776943,0.80001759,0.936535127,0.587239722,0.719297724,0.581959015,0.642718976
(−)-Riboflavin,1.700461053,1.292771431,1.573386214,1.197184029,2.41335163,1.807429322,1.702851083,1.087013127,1.707578214,1.846363463,1.99735135,1.902161612,1.495512424,1.288516527,1.273542729,1.879777483
(−)-nabilone,0.748470887,0.864475054,0.560102263,0.955871253,0.889889024,0.881977091,0.951836662,0.57783924,0.476059328,0.621558999,0.648764263,0.908372512,0.390863059,0.692797129,0.706173698,1.227957567
(−)-trans-Methyl dihydrojasmonate,1.300489085,0.867585392,1.4563321,1.060497977,2.659077397,0.830104385,0.968009377,0.811540626,1.672698133,1.247422702,1.012412407,1.247134329,1.243601675,1.168242691,0.971077806,0.888393048
